Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,141.10000610351562,141.89999389648438,140.47999572753906,141.5500030517578,137.95135498046875,3338600
2023-01-04,142.07000732421875,143.6199951171875,141.3699951171875,142.60000610351562,138.9746856689453,3869200
2023-01-05,142.44000244140625,142.5,140.00999450683594,141.11000061035156,137.52255249023438,2866600
2023-01-06,142.3800048828125,144.25,141.5800018310547,143.6999969482422,140.0467071533203,3574000
2023-01-09,144.0800018310547,145.47000122070312,143.39999389648438,143.5500030517578,139.9005126953125,3987700
2023-01-10,143.61000061035156,144.85000610351562,142.89999389648438,144.8000030517578,141.11874389648438,2152100
2023-01-11,145.0,145.52999877929688,143.4499969482422,145.25999450683594,141.56704711914062,3268700
2023-01-12,144.8800048828125,146.66000366210938,144.52000427246094,145.5500030517578,141.84967041015625,2715900
2023-01-13,144.05999755859375,146.10000610351562,144.00999450683594,145.88999938964844,142.1810302734375,2455700
2023-01-17,146.4199981689453,147.17999267578125,145.00999450683594,145.19000244140625,141.4988250732422,2986500
2023-01-18,144.39999389648438,144.67999267578125,140.22999572753906,140.41000366210938,136.84034729003906,6445600
2023-01-19,140.0,142.22999572753906,139.75,140.6199951171875,137.0449981689453,4833900
2023-01-20,141.6699981689453,141.86000061035156,140.50999450683594,141.1999969482422,137.61026000976562,7153300
2023-01-23,141.39999389648438,142.99000549316406,141.05999755859375,141.86000061035156,138.25347900390625,5898400
2023-01-24,141.25,142.75,140.0,141.49000549316406,137.8928985595703,4407600
2023-01-25,140.47000122070312,141.02999877929688,139.36000061035156,140.75999450683594,137.1814422607422,7347500
2023-01-26,137.52999877929688,138.27000427246094,132.97999572753906,134.4499969482422,131.03187561035156,17548500
2023-01-27,134.44000244140625,135.49000549316406,133.77000427246094,134.38999938964844,130.97340393066406,8143100
2023-01-30,134.32000732421875,136.11000061035156,133.97999572753906,135.3000030517578,131.86026000976562,5375700
2023-01-31,135.5,135.64999389648438,133.75999450683594,134.72999572753906,131.30474853515625,7206400
2023-02-01,134.49000549316406,135.7899932861328,132.8000030517578,135.08999633789062,131.6555938720703,5428900
2023-02-02,135.9600067138672,136.72000122070312,134.85000610351562,136.38999938964844,132.92254638671875,6107800
2023-02-03,136.35000610351562,136.9499969482422,135.52999877929688,136.94000244140625,133.45855712890625,3755700
2023-02-06,135.8300018310547,136.32000732421875,134.9499969482422,136.17999267578125,132.71788024902344,4841300
2023-02-07,135.6699981689453,136.39999389648438,134.4499969482422,135.83999633789062,132.3865203857422,3737600
2023-02-08,135.7100067138672,136.74000549316406,135.16000366210938,135.97999572753906,132.52296447753906,4593700
2023-02-09,134.99000549316406,135.72999572753906,133.33999633789062,133.75,131.95077514648438,3918800
2023-02-10,133.77999877929688,135.77000427246094,133.5,135.60000610351562,133.77589416503906,5049600
2023-02-13,136.0,137.38999938964844,135.85000610351562,137.35000610351562,135.50234985351562,4403000
2023-02-14,137.0500030517578,137.24000549316406,135.0500030517578,136.00999450683594,134.18035888671875,3202200
2023-02-15,135.1999969482422,136.4499969482422,135.07000732421875,136.39999389648438,134.56512451171875,2506700
2023-02-16,135.57000732421875,135.97000122070312,134.58999633789062,135.0,133.1839599609375,2965500
2023-02-17,134.5,135.5800018310547,133.88999938964844,135.02000427246094,133.2036895751953,3466200
2023-02-21,134.0,134.38999938964844,131.66000366210938,131.7100067138672,129.93821716308594,4257200
2023-02-22,131.89999389648438,131.99000549316406,130.2899932861328,130.97000122070312,129.2081756591797,3200200
2023-02-23,131.5,131.6999969482422,128.86000061035156,130.7899932861328,129.03057861328125,3725600
2023-02-24,129.6199951171875,130.6699981689453,129.22000122070312,130.57000732421875,128.8135528564453,3015800
2023-02-27,131.4199981689453,131.8699951171875,130.1300048828125,130.49000549316406,128.73463439941406,2761300
2023-02-28,130.5500030517578,130.61000061035156,129.13999938964844,129.3000030517578,127.56063842773438,5143100
2023-03-01,128.89999389648438,129.47000122070312,127.73999786376953,128.19000244140625,126.46556854248047,3760700
2023-03-02,128.38999938964844,129.22000122070312,127.70999908447266,128.92999267578125,127.19560241699219,3340100
2023-03-03,129.35000610351562,129.91000366210938,128.77000427246094,129.63999938964844,127.89605712890625,2860300
2023-03-06,129.63999938964844,130.86000061035156,129.58999633789062,130.19000244140625,128.43865966796875,3131200
2023-03-07,130.27999877929688,130.4199981689453,128.19000244140625,128.25,126.5247573852539,3530400
2023-03-08,128.47999572753906,128.74000549316406,127.55000305175781,128.0500030517578,126.32745361328125,2778800
2023-03-09,128.3000030517578,128.52999877929688,125.9800033569336,126.16000366210938,124.46287536621094,5478300
2023-03-10,126.12000274658203,127.29000091552734,125.12999725341797,125.44999694824219,123.76242065429688,5990900
2023-03-13,125.1500015258789,128.19000244140625,124.8499984741211,125.58000183105469,123.89067840576172,8188400
2023-03-14,126.48999786376953,126.63999938964844,123.19999694824219,124.6500015258789,122.97319030761719,8114800
2023-03-15,122.98999786376953,123.3499984741211,121.70999908447266,123.27999877929688,121.62161254882812,5989300
2023-03-16,122.95999908447266,124.81999969482422,121.91999816894531,124.69999694824219,123.02251434326172,6438700
2023-03-17,124.08000183105469,124.5199966430664,122.93000030517578,123.69000244140625,122.0261001586914,37400200
2023-03-20,124.30999755859375,126.16000366210938,124.19000244140625,125.94000244140625,124.24583435058594,4588300
2023-03-21,126.9000015258789,127.1500015258789,125.66000366210938,126.56999969482422,124.86735534667969,3856300
2023-03-22,127.0,127.22000122070312,124.01000213623047,124.05000305175781,122.38126373291016,3549000
2023-03-23,123.80999755859375,124.93000030517578,122.5999984741211,123.37000274658203,121.71041107177734,4651900
2023-03-24,123.36000061035156,125.4000015258789,122.87999725341797,125.29000091552734,123.60457611083984,3812300
2023-03-27,126.47000122070312,130.25999450683594,126.47000122070312,129.30999755859375,127.57049560546875,6524100
2023-03-28,129.17999267578125,129.66000366210938,128.8000030517578,129.33999633789062,127.60009002685547,2888900
2023-03-29,130.1199951171875,130.35000610351562,129.17999267578125,129.7100067138672,127.96512603759766,3279600
2023-03-30,130.16000366210938,131.47999572753906,129.10000610351562,129.22000122070312,127.4817123413086,3561800
2023-03-31,129.47000122070312,131.22999572753906,129.4199981689453,131.08999633789062,129.32655334472656,4524700
2023-04-03,130.97000122070312,132.61000061035156,130.77000427246094,132.05999755859375,130.28350830078125,3840100
